User_ID,Start_node,End_node,Request_time
1,10,13,0
5,11,8,1
2,6,22,2
9,18,2,4
6,22,20,5
10,21,10,5
7,14,3,6
8,24,17,6
13,6,17,6
15,13,11,8
11,23,18,8
17,22,5,9
14,20,21,9
16,12,1,10
18,20,9,13
24,16,17,16
22,24,2,16
21,23,19,16
20,6,12,16
23,17,2,17
25,19,16,17
27,22,10,24
30,12,2,24
28,21,4,25
29,24,11,25
31,22,13,25
32,12,3,26
36,24,15,29
38,24,6,30
39,19,15,30
34,15,16,31
37,21,5,31
41,20,5,31
33,5,24,32
42,20,15,32
35,10,18,33
44,9,22,33
40,24,12,34
45,7,13,35
43,23,24,35
46,18,21,36
47,7,3,37
49,9,1,39
48,22,17,40
53,14,13,41
51,14,4,43
52,19,15,43
56,14,4,44
54,10,1,45
55,16,1,46
60,6,20,47
61,24,19,48
57,8,21,48
63,14,2,50
67,15,1,51
65,23,21,51
66,12,9,51
68,19,12,51
72,19,20,52
70,9,21,52
62,14,19,52
69,17,15,52
64,24,8,53
71,22,19,53
73,3,18,54
76,14,17,54
74,6,2,55
75,16,4,57
79,11,24,58
77,23,11,58
80,9,7,58
78,12,1,60
