User_ID,Start_node,End_node,Request_time
2,6,15,0
3,17,8,0
1,10,24,1
4,24,7,2
5,11,8,3
8,24,17,3
10,21,10,4
11,23,18,4
6,22,20,5
12,9,15,5
9,18,2,6
14,20,21,8
15,24,11,9
16,12,3,10
17,22,5,10
18,20,9,11
19,10,22,13
22,24,2,15
20,8,12,16
21,23,19,17
23,17,2,17
24,16,17,17
25,19,16,21
26,5,23,21
28,21,4,22
27,22,10,22
31,22,13,27
32,13,3,27
30,12,2,28
36,21,15,30
34,10,16,30
39,19,15,30
37,21,5,30
41,20,6,31
40,24,12,31
33,5,24,31
38,24,6,32
42,20,15,32
43,23,24,32
35,10,16,33
45,7,13,34
46,18,21,35
44,9,22,37
47,7,3,37
49,10,1,39
48,22,16,40
51,14,4,40
52,19,15,43
53,14,13,45
54,10,1,46
57,8,21,47
58,22,19,47
60,6,20,47
56,23,4,48
65,23,21,49
61,13,17,49
64,21,8,49
59,23,18,50
62,15,19,52
63,23,2,52
69,17,15,52
68,19,12,52
72,17,20,52
66,12,9,53
67,15,1,54
71,22,19,55
74,6,2,55
73,3,18,56
76,14,17,57
77,23,11,57
80,9,7,57
78,12,1,59
