User_ID,Start_node,End_node,Request_time
1,10,13,0
2,6,22,0
3,17,8,1
4,13,7,2
7,14,3,2
8,24,17,2
5,11,8,5
6,22,20,5
14,20,21,5
11,23,18,5
12,9,19,5
9,7,2,7
13,6,19,7
16,12,1,10
17,22,5,11
19,10,22,13
20,8,12,14
21,23,19,14
22,24,2,16
24,16,17,16
23,17,2,17
25,19,16,17
26,5,14,20
27,22,10,22
28,21,4,23
32,12,3,26
31,22,13,28
29,24,11,28
30,12,2,28
33,5,24,29
41,20,6,31
34,15,16,31
36,21,15,31
38,24,6,31
43,23,24,32
40,24,12,32
35,10,18,33
45,7,13,36
47,7,3,36
44,9,22,37
46,18,21,38
49,9,1,38
48,22,17,39
50,10,8,41
52,19,15,42
53,14,13,44
56,23,4,45
58,22,19,45
54,10,1,46
55,8,1,46
59,23,18,48
61,24,19,48
57,8,21,49
62,14,19,49
66,12,9,50
67,15,1,51
60,6,20,51
63,23,2,51
65,23,21,52
69,17,15,52
71,22,19,52
72,17,20,52
64,24,8,53
70,9,21,54
73,3,18,54
68,17,12,55
74,6,1,55
77,23,11,56
78,12,1,57
79,11,24,57
75,16,4,57
76,14,17,58
