User_ID,Start_node,End_node,Request_time
4,24,7,1
1,10,13,2
3,17,8,2
8,24,17,3
9,18,2,3
5,11,8,4
7,14,3,4
10,21,10,4
11,23,18,5
6,22,21,6
14,20,21,6
15,24,11,6
13,6,17,9
16,12,2,12
18,20,9,12
17,20,5,13
20,8,12,14
24,10,17,16
21,23,19,16
23,17,2,17
22,24,2,19
25,19,16,20
26,5,23,21
28,21,4,22
27,22,10,23
29,24,11,24
30,12,6,26
31,22,12,27
34,15,16,29
36,21,15,30
37,21,5,30
33,5,24,31
35,10,18,31
39,19,15,31
43,23,24,32
41,20,6,32
40,24,12,33
38,21,6,33
45,7,13,35
42,20,15,36
46,20,21,36
49,9,1,36
47,7,3,37
48,22,17,40
50,10,8,41
53,14,13,41
52,19,15,43
55,16,1,44
51,14,4,44
58,22,19,45
57,8,21,45
56,23,4,46
54,10,1,46
60,6,20,48
59,23,18,50
64,24,8,50
62,14,19,51
63,23,2,51
68,19,12,52
67,15,1,52
69,10,15,53
66,12,9,53
72,17,20,54
73,3,18,54
71,22,19,55
74,6,2,56
76,14,17,57
75,16,4,57
78,12,1,57
79,11,24,59
77,23,11,59
80,9,18,60
