User_ID,Start_node,End_node,Request_time
1,10,13,0
3,17,8,0
2,6,22,1
4,23,7,2
5,11,8,3
10,21,10,4
11,23,18,4
6,22,20,5
14,20,21,5
8,21,17,5
13,6,17,5
7,14,3,6
12,9,19,6
16,12,1,11
18,20,9,13
17,22,5,13
20,8,12,14
19,10,22,16
21,22,19,17
25,19,16,19
24,16,19,20
27,22,10,21
26,5,23,24
28,21,4,24
31,22,13,24
30,12,2,27
29,24,11,28
32,12,3,28
33,5,24,29
34,15,16,31
35,10,18,32
39,19,15,32
42,20,15,32
36,21,15,33
37,21,5,33
38,24,6,34
44,9,22,34
41,20,6,35
43,23,24,35
49,9,1,37
48,22,17,37
45,7,13,37
50,10,8,39
52,19,15,41
51,14,4,42
53,14,13,42
55,16,1,43
57,8,21,45
56,23,4,45
58,22,19,49
59,23,18,49
63,23,2,49
60,6,20,50
61,24,19,50
62,11,19,50
68,19,12,52
71,22,19,52
66,12,9,52
70,9,21,52
74,6,2,53
67,15,1,53
65,23,21,53
64,24,8,53
69,17,15,53
72,17,20,54
73,3,18,54
75,16,4,54
78,12,1,56
76,14,17,58
80,9,7,59
77,23,11,60
79,11,24,61
