User_ID,Start_node,End_node,Request_time
1,10,13,0
4,24,7,0
2,6,22,2
3,17,8,3
7,14,3,3
8,24,17,3
5,11,8,4
9,18,2,4
6,15,20,5
11,23,18,5
12,9,19,6
10,21,10,7
13,8,17,8
14,20,21,9
17,22,5,10
16,12,1,11
18,20,9,11
21,23,19,14
19,10,22,15
20,8,12,16
22,24,2,18
23,17,2,19
25,19,16,19
27,22,10,21
28,21,4,22
26,5,23,23
29,24,11,24
30,13,2,25
32,12,3,28
31,22,13,28
33,5,24,30
35,10,18,30
39,19,15,30
34,15,16,32
44,9,22,34
40,24,12,34
41,20,6,34
47,7,3,35
42,20,15,35
43,14,24,35
45,7,13,36
49,9,1,37
48,22,17,40
50,10,16,40
52,19,15,43
53,14,13,43
54,10,1,44
56,23,4,44
55,16,1,47
58,22,19,47
59,23,18,47
60,8,20,48
63,23,2,49
61,24,19,49
62,14,19,50
64,24,8,51
65,23,21,51
69,17,15,51
71,22,19,52
66,12,9,52
67,15,1,54
70,9,21,54
68,20,12,55
72,17,20,55
73,3,18,55
74,6,2,55
75,16,4,55
78,12,1,56
77,23,11,57
76,14,17,58
79,11,24,61
80,8,7,61
