User_ID,Start_node,End_node,Request_time
1,10,13,0
2,6,22,0
3,17,8,1
4,24,7,1
5,11,8,2
10,21,10,4
9,18,2,4
13,6,17,5
7,14,3,5
6,22,20,6
11,23,18,6
15,24,11,7
12,9,19,8
14,20,21,8
16,12,1,9
18,20,9,12
20,8,12,13
17,22,5,13
21,23,19,15
19,10,22,16
22,24,2,18
23,17,2,18
24,16,17,19
25,19,16,19
27,22,10,21
26,5,23,23
28,21,4,23
31,22,13,25
30,12,2,26
32,12,3,27
33,5,24,29
37,21,5,30
40,24,12,30
34,15,16,30
36,21,15,31
41,20,6,31
38,24,6,32
42,20,15,32
39,19,15,33
43,14,13,35
45,7,13,35
44,9,22,37
46,18,21,37
49,9,1,38
47,7,3,39
51,14,4,40
52,20,15,40
48,22,17,40
53,14,13,41
56,23,4,44
59,23,18,46
54,10,1,46
60,5,20,47
58,22,19,48
57,8,21,48
61,24,19,49
63,23,2,49
68,19,12,51
62,14,19,52
64,24,8,52
69,17,15,52
70,9,21,53
67,15,1,53
65,23,21,53
73,3,18,55
74,6,2,55
75,16,4,55
72,17,20,56
79,11,24,58
76,14,17,58
78,12,1,60
80,9,7,61
