User_ID,Start_node,End_node,Request_time
3,17,8,0
1,10,13,1
5,11,8,1
4,24,7,3
6,22,20,3
7,14,3,3
8,24,17,4
12,9,19,4
10,21,10,4
9,18,2,6
13,6,17,7
11,23,18,7
14,20,21,9
15,24,11,9
17,22,5,10
16,12,1,11
18,20,9,11
19,10,22,12
20,8,12,14
21,23,19,15
23,17,2,18
24,16,17,18
25,19,16,20
26,5,23,24
27,22,10,24
31,22,13,25
28,21,4,25
29,24,11,25
33,5,24,28
35,10,18,29
37,21,5,29
39,20,15,30
34,15,16,30
40,24,12,31
36,20,15,31
41,20,6,33
38,24,6,34
44,9,22,34
42,20,15,35
45,7,13,35
43,23,24,36
48,22,17,36
49,5,1,37
47,7,3,37
46,18,21,38
51,14,4,40
50,10,8,41
52,19,15,41
56,23,5,44
54,10,1,45
58,22,19,45
59,23,18,46
55,16,1,46
57,8,21,46
61,24,19,48
65,23,21,49
62,15,19,50
63,23,2,50
64,24,8,52
66,12,9,52
67,15,1,52
72,17,20,52
74,6,2,53
68,15,13,53
70,9,21,53
73,3,18,53
69,19,15,54
71,22,19,54
76,14,17,56
77,23,11,56
80,9,7,59
78,12,1,60
