User_ID,Start_node,End_node,Request_time
1,10,13,0
2,6,22,0
3,17,8,2
7,14,3,3
4,24,7,4
5,11,6,4
8,24,17,4
6,22,20,5
9,18,2,6
14,20,24,6
13,6,17,7
10,21,15,7
11,23,7,7
15,24,11,8
16,12,1,11
17,22,5,11
18,20,9,12
20,8,12,12
19,10,22,13
21,23,19,15
22,24,2,17
23,17,2,20
27,22,10,20
25,19,16,21
26,5,23,21
28,21,11,22
31,22,13,26
29,24,11,26
32,12,3,28
33,5,24,28
37,21,5,29
34,15,16,31
36,21,15,31
38,24,6,31
35,10,18,32
40,24,12,33
39,19,15,34
45,7,13,35
42,20,15,36
43,23,24,36
44,9,22,36
46,18,20,37
47,7,3,37
49,9,1,39
50,10,8,40
53,14,13,41
52,19,15,42
54,10,1,42
51,14,4,43
55,16,1,44
56,23,4,44
58,22,19,45
59,23,18,46
57,8,21,48
63,23,2,49
62,14,19,49
60,6,20,50
61,24,19,50
65,23,21,51
66,12,9,52
64,24,8,53
68,19,12,53
73,3,18,53
71,22,19,54
72,17,20,54
76,14,17,55
69,17,15,55
74,6,2,55
78,12,1,58
79,11,23,58
77,23,11,58
80,9,7,61
