User_ID,Start_node,End_node,Request_time
3,17,8,2
4,24,7,2
5,11,8,2
6,22,20,2
9,18,2,3
7,14,3,3
8,24,17,4
10,21,10,5
14,20,21,6
12,9,19,7
11,23,18,8
15,24,11,8
13,6,17,9
16,12,1,11
17,22,5,11
18,20,9,12
20,8,12,14
19,10,22,15
23,17,2,16
22,24,2,18
25,19,16,19
27,22,10,22
28,21,4,24
26,5,23,24
30,12,2,27
31,22,24,27
34,15,16,28
32,12,3,29
33,5,24,29
36,24,15,29
39,19,15,30
40,24,12,31
35,9,18,32
43,23,24,32
37,21,5,32
38,24,6,33
41,20,6,35
42,20,15,35
46,18,21,35
44,9,22,36
45,7,13,37
49,9,1,38
48,22,17,39
47,7,3,39
51,14,4,40
50,10,8,42
52,20,15,44
53,14,13,44
54,10,1,44
55,17,1,46
58,22,19,46
56,23,4,47
59,23,18,49
57,8,21,49
64,24,8,50
66,12,5,50
67,15,1,50
60,6,20,51
61,24,19,51
72,17,20,52
68,19,12,52
73,3,18,53
70,9,21,53
65,23,24,53
69,17,15,53
74,6,2,54
76,14,17,54
71,22,19,56
78,12,1,56
75,16,4,57
79,11,24,58
80,8,7,58
