User_ID,Start_node,End_node,Request_time
1,10,13,0
2,6,22,0
3,17,8,1
4,24,7,2
7,14,3,2
6,22,20,3
10,21,10,3
5,11,8,5
8,24,17,5
13,6,17,6
15,24,11,6
12,9,19,7
11,23,18,8
16,12,1,8
17,22,5,9
18,20,9,9
14,20,21,9
19,10,22,13
21,23,19,14
20,8,12,16
23,17,2,16
22,24,6,17
24,16,17,19
25,19,8,20
26,5,23,21
27,22,10,22
29,24,11,25
30,12,2,26
32,12,4,26
31,22,13,28
34,15,16,28
33,5,24,30
41,20,6,31
38,24,6,31
40,24,12,31
37,21,6,31
36,21,15,33
39,19,15,33
42,20,15,33
43,23,24,33
44,9,22,36
45,7,13,36
49,9,1,36
46,18,21,37
48,22,17,38
50,10,8,39
47,7,3,39
52,19,15,40
51,14,4,43
53,14,13,45
56,23,4,46
58,22,19,46
60,6,20,47
61,24,19,49
57,8,21,49
67,10,1,50
64,24,8,50
59,23,18,50
62,14,19,51
69,17,15,51
66,12,9,52
65,23,21,53
63,23,2,53
72,17,20,55
68,17,12,55
73,3,18,56
71,22,19,56
78,12,1,57
75,16,4,58
76,11,17,58
77,23,11,58
79,14,24,60
