User_ID,Start_node,End_node,Request_time
1,10,13,0
2,6,22,1
3,17,8,1
6,22,20,4
7,14,1,4
8,21,17,4
5,11,8,5
12,9,19,6
15,24,11,6
9,18,2,7
10,21,10,7
14,20,21,7
18,20,9,10
20,8,12,12
17,22,5,12
21,23,19,13
19,10,22,15
22,24,2,15
25,19,16,17
23,17,2,19
24,16,17,19
26,5,23,21
27,22,10,21
31,22,13,24
28,21,4,25
32,12,3,25
29,24,11,26
33,5,24,28
35,10,18,29
39,19,10,30
40,24,12,31
34,15,16,31
38,24,6,32
37,21,5,33
45,7,13,33
36,21,15,33
44,9,22,34
42,20,15,35
43,23,24,35
49,9,1,37
48,22,17,37
47,7,3,39
50,10,8,40
51,14,4,40
52,19,15,40
53,14,13,41
54,10,1,42
56,23,4,44
59,22,18,47
58,22,19,47
55,16,1,47
57,8,21,47
62,14,19,49
67,15,1,50
60,6,18,51
61,24,19,51
63,23,2,51
72,17,20,52
71,22,19,52
68,19,12,52
69,17,15,52
65,23,21,52
70,9,21,53
64,24,8,53
74,6,2,54
66,12,9,54
73,3,18,56
75,16,4,56
78,12,3,57
80,9,7,57
76,14,17,58
77,23,11,60
