User_ID,Start_node,End_node,Request_time
2,6,22,0
1,10,13,1
3,16,8,2
4,24,7,3
7,14,3,3
10,21,10,3
6,22,20,4
11,23,18,4
14,20,21,5
13,6,10,5
9,18,2,5
12,9,19,6
15,24,11,8
16,12,2,11
18,20,9,11
19,10,22,12
17,22,5,12
20,8,12,14
21,23,20,15
23,17,2,16
22,24,2,18
24,16,17,20
25,19,16,20
27,22,10,20
26,5,23,24
30,12,6,25
31,22,13,26
29,24,11,27
32,12,3,27
35,10,7,30
37,21,5,30
33,5,24,31
34,15,16,31
42,20,15,32
40,24,12,32
39,19,22,33
38,24,6,33
43,23,24,33
44,9,22,33
41,20,5,35
46,18,21,35
47,7,3,35
45,7,13,36
48,22,17,36
52,19,15,40
51,14,4,40
49,9,1,40
50,10,8,42
53,14,13,45
58,22,19,46
54,10,1,46
55,16,1,47
61,24,19,47
57,8,21,47
59,23,18,48
56,23,4,48
62,14,19,49
63,23,2,49
64,24,8,49
66,12,9,50
65,23,21,52
69,17,15,53
72,17,20,54
68,19,12,54
71,22,19,55
73,3,18,55
74,6,2,55
75,18,4,55
76,14,17,55
77,23,12,59
79,11,24,60
80,9,7,60
