User_ID,Start_node,End_node,Request_time
1,10,13,0
3,17,8,0
2,6,22,2
4,24,7,4
7,14,3,5
8,24,19,5
13,6,17,6
10,21,11,7
11,23,18,7
14,20,21,7
12,9,19,8
15,24,11,8
17,22,5,9
18,20,9,12
16,12,1,12
20,8,12,14
19,10,22,15
21,23,19,17
22,24,2,17
25,19,16,18
24,16,17,18
23,17,2,20
28,21,4,22
26,5,23,24
29,24,11,24
31,15,13,24
32,12,3,25
30,12,2,27
37,21,5,29
40,24,12,31
34,15,16,31
33,5,24,32
36,21,15,33
38,24,6,33
39,19,14,33
41,20,6,33
42,20,15,34
44,9,22,34
43,23,24,35
45,18,13,35
48,22,17,36
46,18,21,37
49,9,1,37
47,7,3,38
51,14,4,40
50,10,8,42
53,11,13,43
52,19,15,44
56,23,4,45
59,23,18,46
60,6,20,48
64,24,8,49
57,8,21,49
58,22,19,49
61,24,19,50
67,15,1,50
65,23,21,51
68,19,3,51
62,14,19,53
66,11,9,53
74,6,1,53
76,14,17,54
70,9,21,54
69,17,15,54
71,22,19,54
75,16,4,55
72,17,20,56
73,3,18,56
78,12,1,56
79,11,24,58
77,23,11,58
80,9,7,61
