User_ID,Start_node,End_node,Request_time
2,6,22,0
3,17,8,2
4,13,7,3
5,11,8,3
7,14,3,3
10,22,10,3
6,22,20,4
12,9,19,5
9,18,2,5
11,23,18,6
8,24,17,6
15,24,11,6
13,6,16,9
14,20,21,9
16,12,1,9
17,22,5,11
19,10,22,12
18,20,9,12
21,23,19,13
20,7,12,14
25,19,16,17
22,24,2,18
23,17,2,20
26,5,23,22
28,21,4,23
27,22,10,23
30,12,2,24
29,24,11,27
31,22,13,27
36,21,15,29
32,12,3,29
38,24,6,30
35,10,18,30
37,21,6,30
34,15,16,31
40,24,12,32
33,5,24,32
42,20,15,33
45,7,13,34
41,20,6,35
46,18,21,36
44,9,22,37
49,9,1,37
47,7,3,38
48,22,17,38
50,10,8,39
52,19,15,41
53,14,13,42
54,10,1,44
56,23,4,44
55,16,1,45
58,22,19,45
61,21,19,47
57,8,21,48
64,24,8,49
63,23,2,50
59,23,18,50
60,6,20,51
65,23,21,51
66,12,9,51
68,17,12,53
70,9,21,53
72,17,20,53
69,17,15,54
76,14,17,55
71,22,19,55
73,3,18,56
75,16,4,57
79,11,24,57
80,9,7,57
77,23,11,58
78,12,1,59
